blockNum,blockName,pracNum,tryNum,maxScore,trialNum,stimulus,corrAns,slideFile1,slideFile2,slideFile3,stimulus_file,box1_file,box2_file
6,Rule 2,NA,NA,6,1,big-elephant,big_elephant_box,NA,NA,slide-04,resources/imgs/elephant/elephant-big-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/elephant-box-small.png
6,Rule 2,NA,NA,6,2,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
6,Rule 2,NA,NA,6,3,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
6,Rule 2,NA,NA,6,4,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
6,Rule 2,NA,NA,6,5,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
6,Rule 2,NA,NA,6,6,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
7,Demo 3,2,0,6,1,big-elephant,small_elephant_box,NA,NA,DEMO,resources/imgs/elephant/elephant-big-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/elephant-box-small.png
7,Demo 3,2,0,6,2,small-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
7,Demo 3,2,0,6,3,big-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
7,Demo 3,2,0,6,4,small-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
7,Demo 3,2,0,6,5,small-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
7,Demo 3,2,0,6,6,big-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
8,Practice 3,2,1,6,1,big-elephant,small_elephant_box,NA,NA,slide-06,resources/imgs/elephant/elephant-big-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/elephant-box-small.png
8,Practice 3,2,1,6,2,small-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
8,Practice 3,2,1,6,3,big-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
8,Practice 3,2,1,6,4,small-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
8,Practice 3,2,1,6,5,small-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
8,Practice 3,2,1,6,6,big-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
9,Rule 3,NA,NA,6,1,small-elephant,big_elephant_box,NA,NA,slide-07,resources/imgs/elephant/elephant-small-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/elephant-box-small.png
9,Rule 3,NA,NA,6,2,big-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
9,Rule 3,NA,NA,6,3,big-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
9,Rule 3,NA,NA,6,4,small-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
9,Rule 3,NA,NA,6,5,big-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
9,Rule 3,NA,NA,6,6,small-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
